iter	Passed	Remaining
0	28	112827
1	52	105904
2	76	101967
3	100	100411
4	133	106540
5	155	103613
6	180	102686
7	204	101944
8	232	102948
9	258	103257
10	286	103811
11	314	104581
12	336	103135
13	360	102519
14	388	103292
15	412	102694
16	441	103332
17	462	102402
18	493	103382
19	520	103510
20	546	103491
21	570	103204
22	595	103004
23	620	102793
24	646	102859
25	674	103140
26	698	102709
27	722	102437
28	747	102383
29	771	102056
30	796	101940
31	823	102100
32	854	102759
33	879	102537
34	904	102505
35	930	102484
36	962	103051
37	986	102809
38	1009	102527
39	1029	101885
40	1053	101768
41	1076	101478
42	1103	101513
43	1125	101211
44	1146	100785
45	1168	100397
46	1200	100999
47	1228	101159
48	1250	100812
49	1271	100457
50	1293	100167
51	1319	100145
52	1340	99837
53	1363	99623
54	1391	99835
55	1415	99670
56	1439	99587
57	1462	99418
58	1485	99196
59	1507	99015
60	1527	98635
61	1552	98594
62	1578	98619
63	1604	98662
64	1628	98604
65	1650	98370
66	1676	98404
67	1700	98324
68	1722	98106
69	1745	98001
70	1770	97975
71	1791	97760
72	1814	97585
73	1839	97598
74	1861	97394
75	1885	97328
76	1914	97557
77	1938	97449
78	1964	97525
79	1987	97383
80	2014	97463
81	2045	97750
82	2068	97601
83	2091	97504
84	2121	97695
85	2147	97740
86	2176	97906
87	2199	97779
88	2225	97810
89	2249	97715
90	2271	97560
91	2300	97700
92	2331	97938
93	2354	97854
94	2377	97708
95	2398	97539
96	2421	97444
97	2444	97344
98	2471	97380
99	2494	97282
100	2518	97214
101	2549	97436
102	2573	97378
103	2595	97220
104	2624	97346
105	2653	97485
106	2682	97591
107	2705	97491
108	2729	97443
109	2751	97295
110	2773	97176
111	2797	97104
112	2830	97353
113	2854	97295
114	2909	98279
115	2955	98947
116	2981	98958
117	3018	99287
118	3045	99338
119	3072	99328
120	3096	99269
121	3121	99221
122	3151	99327
123	3186	99598
124	3224	99954
125	3258	100175
126	3288	100271
127	3315	100283
128	3342	100288
129	3370	100339
130	3398	100381
131	3423	100329
132	3454	100435
